LINEID;CONTEXT;visible_G0_I13;full_G0_I13;infrared_G0_I13;delay_visible_G0_I13;visible_G0_I101;full_G0_I101;infrared_G0_I101;delay_visible_G0_I101;visible_G0_I402;full_G0_I402;infrared_G0_I402;delay_visible_G0_I13;visible_G16_I13;full_G16_I13;infrared_G16_I13;delay_visible_G16_I13;visible_G16_I101;full_G16_I101;infrared_G16_I101;delay_visible_G16_I101;visible_G16_I402;full_G16_I402;infrared_G16_I402;delay_visible_G16_I13
1;interior;4;8;4;50;29;59;30;313;116;238;121;1207;62;126;64;50;466;949;483;313;1853;3770;1913;1207
2;interior;4;8;4;51;29;59;30;313;115;235;119;1208;61;124;63;49;459;934;474;315;1828;3717;1888;1207
3;interior;4;8;4;50;29;58;29;313;114;231;117;1208;60;122;62;49;452;919;466;315;1800;3648;1846;1207
4;interior;4;8;4;49;28;57;29;314;112;226;114;1207;60;119;60;49;443;900;456;314;1769;3596;1827;1207
5;interior;4;7;4;49;28;57;29;315;108;209;106;1207;56;112;56;50;418;848;430;313;1682;3408;1724;1209
6;interior;4;7;3;50;27;53;27;314;105;213;107;1207;56;112;57;50;420;848;428;313;1676;3420;1757;1209
7;interior;3;7;4;50;28;56;29;313;111;227;116;1208;60;121;61;49;447;907;460;313;1776;3602;1814;1208
8;interior;3;7;4;49;28;56;28;313;110;226;119;1209;63;127;65;49;469;958;489;314;1877;3833;1957;1207
9;interior;4;8;4;49;30;61;31;313;119;243;123;1209;63;128;65;49;474;964;491;314;1885;3834;1949;1207
10;interior;4;8;4;49;30;60;30;313;117;239;122;1207;63;127;64;50;468;955;486;313;1870;3817;1947;1207
11;interior;4;8;4;50;29;58;28;314;111;222;112;1207;58;117;59;50;437;884;446;314;1737;3478;1777;1208
12;interior;4;8;4;49;28;57;29;313;112;230;117;1207;60;122;62;50;452;920;468;314;1799;3665;1863;1208
13;outdoor / shadow;633;960;327;50;4752;7209;2451;313;18999;29340;10151;1208;0;4934;4933;50;0;37064;37063;313;0;65535;65535;1207
14;outdoor / shadow;623;951;328;50;4688;7163;2471;313;18754;28650;9867;1209;0;4934;4933;49;1;37064;37063;314;0;65535;65535;1207
15;outdoor / shadow;628;958;330;50;4720;7200;2480;314;18796;28671;9880;1208;1;4933;4933;49;0;37064;37063;314;0;65535;65535;1208
16;outdoor / shadow;630;960;330;50;4730;7213;2483;314;18850;28752;9900;1208;1;4934;4933;49;1;37063;37063;315;0;65535;65535;1207
17;outdoor / shadow;630;960;330;50;4727;7212;2484;313;18851;28733;9896;1207;0;4933;4933;49;1;37064;37063;314;0;65535;65535;1207
18;outdoor / shadow;630;960;330;49;4724;7203;2480;314;18819;28755;10042;1207;1;4933;4933;51;0;37064;37063;313;0;65535;65535;1208
19;outdoor / shadow;670;1019;348;49;5037;7655;2619;314;20053;30442;10370;1208;0;4933;4933;50;1;37063;37063;313;0;65535;65535;1209
20;outdoor / shadow;661;1004;344;49;4948;7476;2531;315;19376;29043;9824;1207;0;4933;4933;50;1;37063;37063;314;0;65535;65535;1208
21;outdoor / shadow;660;1003;343;49;4958;7513;2554;314;19170;28024;9442;1207;1;4934;4933;51;0;37064;37063;313;0;65535;65535;1208
22;outdoor / shadow;978;1468;490;49;7366;11066;3691;314;28860;42742;14249;1208;1;4934;4933;50;0;37063;37063;313;0;65535;65535;1208
23;outdoor / sun;0;4934;4933;50;1;37063;37063;313;0;65535;65535;1208;0;4933;4933;50;0;37063;37064;314;0;65535;65535;1207
24;outdoor / sun;1;4934;4933;50;1;37064;37063;313;0;65535;65535;1207;0;4933;4933;50;0;37064;37064;314;0;65535;65535;1207
25;outdoor / sun;1;4933;4933;49;1;37064;37063;314;0;65535;65535;1207;0;4933;4933;51;0;37064;37064;313;0;65535;65535;1208
26;outdoor / sun;1;4933;4933;49;0;37063;37063;313;0;65535;65535;1208;0;4934;4934;50;0;37064;37063;313;0;65535;65535;1207
27;outdoor / sun;1;4934;4933;50;0;37063;37063;313;0;65535;65535;1208;0;4933;4934;50;0;37063;37064;314;0;65535;65535;1207
